"","Rank","Year","Title","Artist","Lyrics"
"2381",81,"1995","Mr. Personality","Gillette",NA
"2382",82,"1995","I Wanna Love Like That","Tony Thompson",NA
"2383",83,"1995","Craziest","Naughty By Nature",NA
"2384",84,"1995","Here & Now","Letters To Cleo",NA
"2385",85,"1995","Never Find Someone Like You","Keith Martin",NA
"2386",86,"1995","Lick It","Roula",NA
"2387",87,"1995","Fat Boy","Max-A-Million",NA
"2388",88,"1995","The I.N.C. Ride","Masta Ace Incorporated",NA
"2389",89,"1995","Tell Me When","The Human League",NA
"2390",90,"1995","Somebody's Crying","Chris Isaak",NA
"2391",91,"1995","Crimson And Clover","SF Spanish Fly",NA
"2392",92,"1995","Feel So High","Des'ree",NA
"2393",93,"1995","Lifestyles Of The Rich And Shameless","Lost Boyz",NA
"2394",94,"1995","Rodeo","95 South",NA
"2395",95,"1995","Secret Garden","Bruce Springsteen",NA
"2396",96,"1995","As I Lay Me Down","Sophie B. Hawkins",NA
"2397",97,"1995","Brooklyn Zoo","Ol' Dirty Bastard",NA
"2398",98,"1995","You Got It (From ""Boys On The Side"")","Bonnie Raitt",NA
"2399",99,"1995","I Like It (I Wanna Be Where You Are)","Grand Puba",NA
"2400",100,"1995","Shimmy Shimmy Ya","Ol' Dirty Bastard",NA
"2401",1,"1996","Tha Crossroads","Bone Thugs-N-Harmony",NA
"2402",2,"1996","Always Be My Baby","Mariah Carey",NA
"2403",3,"1996","Because You Loved Me (From ""Up Close & Personal"")","Celine Dion",NA
"2404",4,"1996","Give Me One Reason","Tracy Chapman",NA
"2405",5,"1996","You're The One","SWV",NA
"2406",6,"1996","Nobody Knows","The Tony Rich Project",NA
"2407",7,"1996","You're Makin' Me High/Let It Flow","Toni Braxton",NA
"2408",8,"1996","Fastlove","George Michael",NA
"2409",9,"1996","Ironic","Alanis Morissette",NA
"2410",10,"1996","Until It Sleeps","Metallica",NA
"2411",11,"1996","Theme From Mission: Impossible (From ""Mission: Impossible"")","Adam Clayton & Larry Mullen",NA
"2412",12,"1996","Insensitive (From ""Bed Of Roses"")","Jann Arden",NA
"2413",13,"1996","Sweet Dreams","La Bouche",NA
"2414",14,"1996","Follow You Down/Til I Hear It From You","Gin Blossoms",NA
"2415",15,"1996","Old Man & Me (When I Get To Heaven)","Hootie & The Blowfish",NA
"2416",16,"1996","Why I Love You So Much/Ain't Nobody","Monica",NA
"2417",17,"1996","Count On Me (From ""Waiting To Exhale"")","Whitney Houston & CeCe Winans",NA
"2418",18,"1996","Keep On, Keepin' On (From ""Sunset Park"")","MC Lyte Featuring Xscape",NA
"2419",19,"1996","Macarena (Bayside Boys Mix)","Los Del Rio",NA
"2420",20,"1996","Touch Me Tease Me (From ""The Nutty Professor"")","Case Featuring Foxxy Brown",NA
"2421",21,"1996","Sittin' Up In My Room (From ""Waiting To Exhale"")","Brandy",NA
"2422",22,"1996","Get On Up","Jodeci",NA
"2423",23,"1996","1, 2, 3, 4 (Sumpin' New)","Coolio",NA
"2424",24,"1996","Down Low (Nobody Has To Know)","R. Kelly Featuring Ronald Isley",NA
"2425",25,"1996","C'mon N' Ride It (The Train)","Quad City DJ's",NA
"2426",26,"1996","Kissin' You","Total",NA
"2427",27,"1996","The Earth, The Sun, The Rain","Color Me Badd",NA
"2428",28,"1996","Get Money","Junior M.A.F.I.A. Featuring The Notorious B.I.G.",NA
"2429",29,"1996","Missing","Everything But The Girl",NA
"2430",30,"1996","They Don't Care About Us","Michael Jackson",NA
"2431",31,"1996","Children","Robert Miles",NA
"2432",32,"1996","You","Monifah",NA
"2433",33,"1996","Just A Girl","No Doubt",NA
"2434",34,"1996","Wonder","Natalie Merchant",NA
"2435",35,"1996","1979","The Smashing Pumpkins",NA
"2436",36,"1996","Closer To Free (From ""Party Of Five"")","BoDeans",NA
"2437",37,"1996","Flood","Jars Of Clay",NA
"2438",38,"1996","Woo-Hah!! Got You All In Check/Everything Remains Raw","Busta Rhymes",NA
"2439",39,"1996","Who Will Save Your Soul","Jewel",NA
"2440",40,"1996","Doin It","LL Cool J",NA
"2441",41,"1996","All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")","Joe",NA
"2442",42,"1996","Be My Lover","La Bouche",NA
"2443",43,"1996","The World I Know","Collective Soul",NA
"2444",44,"1996","Please Don't Go","Immature",NA
"2445",45,"1996","Hay","Crucial Conflict",NA
"2446",46,"1996","Tres Delinquentes","Delinquent Habits",NA
"2447",47,"1996","Only You","112 Featuring The Notorious B.I.G.",NA
"2448",48,"1996","Name","Goo Goo Dolls",NA
"2449",49,"1996","A Thin Line Between Love & Hate (From ""A Thin Line..."")","H-Town",NA
"2450",50,"1996","Renee","Lost Boyz",NA
"2451",51,"1996","Reach","Gloria Estefan",NA
"2452",52,"1996","Machinehead (From ""Fear"")","Bush",NA
"2453",53,"1996","5 O'Clock","Nonchalant",NA
"2454",54,"1996","Your Loving Arms","Billie Ray Martin",NA
"2455",55,"1996","Ain't No Nigga/Dead Presidents","Jay-Z Featuring Foxxy Brown",NA
"2456",56,"1996","It's All The Way Live (Now) (From ""Eddie"")","Coolio",NA
"2457",57,"1996","Counting Blue Cars","Dishwalla",NA
"2458",58,"1996","Who Do U Love","Deborah Cox",NA
"2459",59,"1996","Don't Cry","Seal",NA
"2460",60,"1996","I Want To Come Over","Melissa Etheridge",NA
"2461",61,"1996","Not Gon' Cry (From ""Waiting To Exhale"")","Mary J. Blige",NA
"2462",62,"1996","In The Meantime","Spacehog",NA
"2463",63,"1996","The Only Thing That Looks Good On Me Is You","Bryan Adams",NA
"2464",64,"1996","Release Me","Angelina",NA
"2465",65,"1996","Forever More","Puff Johnson",NA
"2466",66,"1996","You Still Touch Me","Sting",NA
"2467",67,"1996","Don't Wanna Lose You","Lionel Richie",NA
"2468",68,"1996","Wrong","Everything But The Girl",NA
"2469",69,"1996","Chains","Tina Arena",NA
"2470",70,"1996","I Will Survive","Chantay Savage",NA
"2471",71,"1996","Can't Get You Off My Mind","Lenny Kravitz",NA
"2472",72,"1996","Lady","D'Angelo",NA
"2473",73,"1996","Ain't Nobody/Kissing You","Faith Evans",NA
"2474",74,"1996","Wonderwall","Oasis",NA
"2475",75,"1996","Scarred (From ""Eddie"")","Luke",NA
"2476",76,"1996","Amish Paradise","""Weird Al"" Yankovic",NA
"2477",77,"1996","Scary Kisses","Voice Of The Beehive",NA
"2478",78,"1996","Ever Since You Went Away","Art N' Soul",NA
"2479",79,"1996","My Maria","Brooks & Dunn",NA
"2480",80,"1996","Only Happy When It Rains","Garbage",NA
"2481",81,"1996","I'll Never Stop Loving You","J'Son",NA
"2482",82,"1996","Lucky Love","Ace Of Base",NA
"2483",83,"1996","House Keeper","Men Of Vizion",NA
"2484",84,"1996","Feels So Good (Show Me Your Love)","Lina Santiago",NA
"2485",85,"1996","Heartspark Dollarsign","Everclear",NA
"2486",86,"1996","Live And Die For Hip Hop","Kris Kross",NA
"2487",87,"1996","Shadowboxin'","Genius/GZA Featuring Method Man",NA
"2488",88,"1996","One For The Money","Horace Brown",NA
"2489",89,"1996","Glycerine","Bush",NA
"2490",90,"1996","For The Love Of You","Jordan Hill",NA
"2491",91,"1996","Do You Want To/Can't Hang","Xscape Featuring MC Lyte",NA
"2492",92,"1996","The World Is A Ghetto","Geto Boys Featuring Flaj",NA
"2493",93,"1996","Slow Jams","Quincy Jones Feat. Babyface & Tamia With Portrai",NA
"2494",94,"1996","Esa Nena Linda","Artie The 1 Man Party",NA
"2495",95,"1996","Let's Lay Together (From ""Don't Be A Menace..."")","The Isley Brothers",NA
"2496",96,"1996","One More Try","Kristine W",NA
"2497",97,"1996","Feel The Music","Planet Soul Featuring Brenda Dee",NA
"2498",98,"1996","Guilty (From ""Seven"")","Gravity Kills",NA
"2499",99,"1996","Peaches","The Presidents Of The United States Of America",NA
"2500",100,"1996","Love Don't Live Here Anymore","Madonna",NA
"2501",1,"1997","MMMBop","Hanson",NA
"2502",2,"1997","Return Of The Mack","Mark Morrison",NA
"2503",3,"1997","Say You'll Be There","Spice Girls",NA
"2504",4,"1997","Hypnotize","The Notorious B.I.G.",NA
"2505",5,"1997","The Freshmen","The Verve Pipe",NA
"2506",6,"1997","I Belong To You (Every Time I See Your Face)","Rome",NA
"2507",7,"1997","Foolish Games/You Were Meant For Me","Jewel",NA
"2508",8,"1997","G.H.E.T.T.O.U.T.","Changing Faces",NA
"2509",9,"1997","It's Your Love","Tim McGraw With Faith Hill",NA
"2510",10,"1997","Hard To Say I'm Sorry","Az Yet Featuring Peter Cetera",NA
"2511",11,"1997","I Want You","Savage Garden",NA
"2512",12,"1997","For You I Will (From ""Space Jam"")","Monica",NA
"2513",13,"1997","Where Have All The Cowboys Gone?","Paula Cole",NA
"2514",14,"1997","Bitch","Meredith Brooks",NA
"2515",15,"1997","Can't Nobody Hold Me Down","Puff Daddy (Featuring Mase)",NA
"2516",16,"1997","Cupid","112",NA
"2517",17,"1997","Da' Dip","Freak Nasty",NA
"2518",18,"1997","Barely Breathing","Duncan Sheik",NA
"2519",19,"1997","I Love Me Some Him/I Don't Want To","Toni Braxton",NA
"2520",20,"1997","My Baby Daddy","B-Rock & The Bizz",NA
"2521",21,"1997","Don't Wanna Be A Player (From ""Booty Call"")","Joe",NA
"2522",22,"1997","Thinking Of You","Tony Toni Tone",NA
"2523",23,"1997","Your Woman","White Town",NA
"2524",24,"1997","Un-Break My Heart","Toni Braxton",NA
"2525",25,"1997","Do You Know (What It Takes)","Robyn",NA
"2526",26,"1997","Secret Garden","Bruce Springsteen",NA
"2527",27,"1997","I Believe I Can Fly (From ""Space Jam"")","R. Kelly",NA
"2528",28,"1997","Wannabe","Spice Girls",NA
"2529",29,"1997","Every Time I Close My Eyes","Babyface",NA
"2530",30,"1997","Don't Let Go (Love)","En Vogue",NA
"2531",31,"1997","Staring At The Sun","U2",NA
"2532",32,"1997","In My Bed","Dru Hill",NA
"2533",33,"1997","Everyday Is A Winding Road","Sheryl Crow",NA
"2534",34,"1997","Alone","Bee Gees",NA
"2535",35,"1997","For You","Kenny Lattimore",NA
"2536",36,"1997","Get It Together","702",NA
"2537",37,"1997","All By Myself","Celine Dion",NA
"2538",38,"1997","It's No Good","Depeche Mode",NA
"2539",39,"1997","Ooh Aah... Just A Little Bit","Gina G",NA
"2540",40,"1997","ESPN Presents The Jock Jam","Various Artists",NA
"2541",41,"1997","Naked Eye","Luscious Jackson",NA
"2542",42,"1997","I'll Be","Foxy Brown Featuring Jay-Z",NA
"2543",43,"1997","5 Miles To Empty","Brownstone",NA
"2544",44,"1997","Come On","Billy Lawrence Featuring MC Lyte",NA
"2545",45,"1997","Until I Find You Again","Richard Marx",NA
"2546",46,"1997","The Perfect Drug (From ""Lost Highway"")","Nine Inch Nails",NA
"2547",47,"1997","I Wanna Be There","Blessid Union Of Souls",NA
"2548",48,"1997","Call Me","Le Click",NA
"2549",49,"1997","I Shot The Sheriff","Warren G",NA
"2550",50,"1997","Let Me Clear My Throat","DJ Kool",NA
"2551",51,"1997","Can U Feel It","3rd Party",NA
"2552",52,"1997","What's On Tonight","Montell Jordan",NA
"2553",53,"1997","One More Time","Real McCoy",NA
"2554",54,"1997","Big Daddy","Hev-D",NA
"2555",55,"1997","A Little Bit Of Ecstasy","Jocelyn Enriquez",NA
"2556",56,"1997","Go The Distance (From ""Hercules"")","Michael Bolton",NA
"2557",57,"1997","Here's Your Sign (Get The Picture)","Bill Engvall With Special Guest Travis Tritt",NA
"2558",58,"1997","That's Right","DJ Taz Featuring Raheem The Dream",NA
"2559",59,"1997","Blood On The Dance Floor","Michael Jackson",NA
"2560",60,"1997","If I Could Change (From ""I'm Bout It"")","The Lemonheads",NA
"2561",61,"1997","Full Of Smoke","Christion",NA
"2562",62,"1997","Let It Go (From ""Set It Off"")","Ray J",NA
"2563",63,"1997","Too Late, Too Soon","Jon Secada",NA
"2564",64,"1997","In My Arms","Erasure",NA
"2565",65,"1997","Sweet Sexy Thing","Nu Flavor Featuring Roger",NA
"2566",66,"1997","Silent All These Years","Tori Amos",NA
"2567",67,"1997","If Tomorrow Never Comes","Joose",NA
"2568",68,"1997","The World Tonight (From ""Fathers' Day"")","Paul McCartney",NA
"2569",69,"1997","You Don't Have To Hurt No More","Mint Condition",NA
"2570",70,"1997","Step Into A World (Rapture's Delight)","KRS-One",NA
"2571",71,"1997","Gangstas Make The World Go Round","Westside Connection",NA
"2572",72,"1997","6 Underground","Sneaker Pimps",NA
"2573",73,"1997","Insomnia","Faithless",NA
"2574",74,"1997","One More Day","New Edition",NA
"2575",75,"1997","Just Another Day","John Mellencamp",NA
"2576",76,"1997","Jazzy Belle","OutKast",NA
"2577",77,"1997","Head Over Heels","Allure Featuring NAS",NA
"2578",78,"1997","The New Pollution","Beck",NA
"2579",79,"1997","Step By Step (From ""The Preacher's Wife"")","Whitney Houston",NA
"2580",80,"1997","One Night At A Time","George Strait",NA
"2581",81,"1997","Havana","Kenny G",NA
"2582",82,"1997","No One But You (From ""Baps"")","Veronica (Featuring Craig Mack)",NA
"2583",83,"1997","Ghetto Love","Da Brat Featuring T-Boz",NA
"2584",84,"1997","Who You Wit (From ""Sprung"")","JAY-Z",NA
"2585",85,"1997","When I Die","No Mercy",NA
"2586",86,"1997","The Theme (It's Party Time)","Tracey Lee",NA
"2587",87,"1997","If U Stay Ready","Suga Free",NA
"2588",88,"1997","Sometimes","The Brand New Heavies",NA
"2589",89,"1997","Please Don't Go","No Mercy",NA
"2590",90,"1997","Don't Stop Movin'","Livin' Joy",NA
"2591",91,"1997","It Must Be Love","Robin S.",NA
"2592",92,"1997","Stop The Gunfight","Trapp Featuring 2pac, Notorious B.I.G.",NA
"2593",93,"1997","The Old Apartment","Barenaked Ladies",NA
"2594",94,"1997","Talk To Me","Wild Orchid",NA
"2595",95,"1997","It's Alright, It's Ok","Leah Andreone",NA
"2596",96,"1997","Do G's Get To Go To Heaven?","Richie Rich",NA
"2597",97,"1997","Feelin' It","JAY-Z",NA
"2598",98,"1997","Don't Cry For Me Argentina (From ""Evita"")","Madonna",NA
"2599",99,"1997","Precious Declaration","Collective Soul",NA
"2600",100,"1997","Falling In Love (Is Hard On The Knees)","Aerosmith",NA
"2601",1,"1998","The Boy Is Mine","Brandy & Monica",NA
"2602",2,"1998","Too Close","Next",NA
"2603",3,"1998","You're Still The One","Shania Twain",NA
"2604",4,"1998","My All","Mariah Carey",NA
"2605",5,"1998","I Get Lonely","Janet Featuring BLACKstreet",NA
"2606",6,"1998","Everybody [Backstreet's Back]","Backstreet Boys",NA
"2607",7,"1998","The Arms Of The One Who Loves You","Xscape",NA
"2608",8,"1998","All My Life","K-Ci & JoJo",NA
"2609",9,"1998","Truly Madly Deeply","Savage Garden",NA
"2610",10,"1998","It's All About Me","Mya & Sisqo",NA
"2611",11,"1998","Sex And Candy","Marcy Playground",NA
"2612",12,"1998","Body Bumpin' Yippie-Yi-Yo","Public Announcement",NA
"2613",13,"1998","Let's Ride","Montell Jordan Feat. Master P & Silkk The Shocker",NA
"2614",14,"1998","Adia","Sarah McLachlan",NA
"2615",15,"1998","I Want You Back","'N Sync",NA
"2616",16,"1998","Frozen","Madonna",NA
"2617",17,"1998","Turn It Up [Remix]/Fire It Up","Busta Rhymes",NA
"2618",18,"1998","Gettin' Jiggy Wit It","Will Smith",NA
"2619",19,"1998","No, No, No","Destiny's Child",NA
"2620",20,"1998","I Got The Hook Up!","Master P Featuring Sons Of Funk",NA
"2621",21,"1998","Say It","Voices Of Theory",NA
"2622",22,"1998","They Don't Know","Jon B",NA
"2623",23,"1998","Together Again","Janet",NA
"2624",24,"1998","Looking Through Your Eyes","LeAnn Rimes",NA
"2625",25,"1998","Make Em' Say Uhh!","Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",NA
"2626",26,"1998","Raise The Roof","Luke Featuring No Good But So Good",NA
"2627",27,"1998","Money, Power & Respect","The Lox [Featuring DMX & Lil' Kim]",NA
"2628",28,"1998","How's It Going To Be","Third Eye Blind",NA
"2629",29,"1998","Heaven's What I Feel","Gloria Estefan",NA
"2630",30,"1998","I Don't Want To Wait","Paula Cole",NA
"2631",31,"1998","This Kiss","Faith Hill",NA
"2632",32,"1998","Victory","Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh",NA
"2633",33,"1998","How Do I Live","LeAnn Rimes",NA
"2634",34,"1998","Nice & Slow","Usher",NA
"2635",35,"1998","What You Want","Mase Featuring Total",NA
"2636",36,"1998","My Heart Will Go On","Celine Dion",NA
"2637",37,"1998","Romeo And Juliet","Sylk-E. Fyne Featuring Chill",NA
"2638",38,"1998","Cheers 2 U","Playa",NA
"2639",39,"1998","Deja Vu [Uptown Baby]","Lord Tariq & Peter Gunz",NA
"2640",40,"1998","Gone Till November","Wyclef Jean",NA
"2641",41,"1998","You Make Me Wanna...","Usher",NA
"2642",42,"1998","Imagination","Tamia",NA
"2643",43,"1998","Shorty (You Keep Playin' With My Mind)","Imajin Featuring Keith Murray",NA
"2644",44,"1998","Who Am I","Beenie Man",NA
"2645",45,"1998","Whatcha Gone Do?","Link",NA
"2646",46,"1998","Kiss The Rain","Billie Myers",NA
"2647",47,"1998","Candle In The Wind 1997/Something About The Way You Look Tonight","Elton John",NA
"2648",48,"1998","Get At Me Dog","DMX Featuring Sheek Of The Lox",NA
"2649",49,"1998","Second Round K.O.","Canibus",NA
"2650",50,"1998","Wishlist","Pearl Jam",NA
"2651",51,"1998","Bitter Sweet Symphony","The Verve",NA
"2652",52,"1998","Clock Strikes","Timbaland & Magoo",NA
"2653",53,"1998","This Is How We Party","S.O.A.P.",NA
"2654",54,"1998","Push It","Garbage",NA
"2655",55,"1998","A Rose Is Still A Rose","Aretha Franklin",NA
"2656",56,"1998","You Won't Forget Me","La Bouche",NA
"2657",57,"1998","Do For Love","2Pac Featuring Eric Williams",NA
"2658",58,"1998","Recover Your Soul","Elton John",NA
"2659",59,"1998","Love You Down","INOJ/LATHUN",NA
"2660",60,"1998","The Mummers' Dance","Loreena McKennitt",NA
"2661",61,"1998","I'm Alright","Jo Dee Messina",NA
"2662",62,"1998","The Party Continues","JD Featuring Da Brat",NA
"2663",63,"1998","One Heart At A Time","Various Artists",NA
"2664",64,"1998","When The Lights Go Out","Five",NA
"2665",65,"1998","I Just Want To Dance With You","George Strait",NA
"2666",66,"1998","Gitty Up","Salt-N-Pepa",NA
"2667",67,"1998","There's Your Trouble","Dixie Chicks",NA
"2668",68,"1998","Ninety Nine [Flash The Message]","John Forte",NA
"2669",69,"1998","I Honestly Love You (David Foster Vers.)","Olivia Newton-John",NA
"2670",70,"1998","Do Your Thing","7 Mile",NA
"2671",71,"1998","Hooked On A Feeling (Ooga-Chaka)","Baby Talk",NA
"2672",72,"1998","In A Dream","Rockell",NA
"2673",73,"1998","I'm From The Country","Tracy Byrd",NA
"2674",74,"1998","The Unforgiven II","Metallica",NA
"2675",75,"1998","Just Be Straight With Me","Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo",NA
"2676",76,"1998","My Heart Will Go On","Deja Vu",NA
"2677",77,"1998","Ding-A-Ling","Hi-Town DJs",NA
"2678",78,"1998","Are You Jimmy Ray?","Jimmy Ray",NA
"2679",79,"1998","Now That I Found You","Terri Clark",NA
"2680",80,"1998","I Do [Cherish You]","Mark Wills",NA
"2681",81,"1998","Still Po' Pimpin'","Do Or Die Featuring Johnny P & Twista",NA
"2682",82,"1998","Know What You Mean","Sister 7",NA
"2683",83,"1998","Out Of My Bones","Randy Travis",NA
"2684",84,"1998","The City Is Mine","Jay-Z Featuring BLACKstreet",NA
"2685",85,"1998","Too Much","Spice Girls",NA
"2686",86,"1998","I Wanna Get Next To You","Christion",NA
"2687",87,"1998","One Of These Days","Tim McGraw",NA
"2688",88,"1998","Rain","SWV",NA
"2689",89,"1998","A Promise I Make","Dakota Moon",NA
"2690",90,"1998","That's Why I'm Here","Kenny Chesney",NA
"2691",91,"1998","Blue On Black","The Kenny Wayne Shepherd Band",NA
